"idx","name_kr","party","when_elected","total","attend","absense","leave"
676,"황영철","새누리당","재선( 18대 , 19대 )",135,116,14,5
680,"홍영표","더불어민주당","재선( 18대 , 19대 )",135,135,0,0
682,"정수성","새누리당","재선( 18대 , 19대 )",135,117,0,18
683,"이찬열","더불어민주당","재선( 18대 , 19대 )",135,135,0,0
684,"권성동","새누리당","재선( 18대 , 19대 )",135,116,19,0
690,"장병완","더불어민주당","재선( 18대 , 19대 )",135,135,0,0
693,"한기호","새누리당","재선( 18대 , 19대 )",135,126,0,9
707,"정호준","더불어민주당","초선( 19대 )",135,135,0,0
708,"홍익표","더불어민주당","초선( 19대 )",135,125,0,10
709,"서영교","더불어민주당","초선( 19대 )",135,135,0,0
710,"박홍근","더불어민주당","초선( 19대 )",135,135,0,0
711,"유대운","더불어민주당","초선( 19대 )",135,135,0,0
712,"인재근","더불어민주당","초선( 19대 )",135,135,0,0
713,"이노근","새누리당","초선( 19대 )",135,125,0,10
714,"길정우","새누리당","초선( 19대 )",135,99,9,27
715,"신경민","더불어민주당","초선( 19대 )",135,135,0,0
717,"김회선","새누리당","초선( 19대 )",135,108,18,9
718,"강석훈","새누리당","초선( 19대 )",135,130,5,0
719,"심윤조","새누리당","초선( 19대 )",135,99,36,0
720,"김종훈","새누리당","초선( 19대 )",135,135,0,0
721,"박인숙","새누리당","초선( 19대 )",135,108,0,27
722,"신동우","새누리당","초선( 19대 )",135,126,9,0
724,"이헌승","새누리당","초선( 19대 )",135,135,0,0
725,"서용교","새누리당","초선( 19대 )",135,126,0,9
726,"김도읍","새누리당","초선( 19대 )",135,117,0,18
727,"하태경","새누리당","초선( 19대 )",135,135,0,0
728,"문대성","새누리당","초선( 19대 )",135,112,14,9
729,"문재인","더불어민주당","초선( 19대 )",135,126,0,9
730,"김희국","새누리당","초선( 19대 )",135,81,0,54
731,"류성걸","새누리당","초선( 19대 )",135,135,0,0
732,"김상훈","새누리당","초선( 19대 )",135,135,0,0
733,"권은희","새누리당","초선( 19대 )",135,108,27,0
733,"권은희","무소속","초선( 19대 )",135,108,27,0
734,"홍지만","새누리당","초선( 19대 )",135,112,18,5
735,"윤재옥","새누리당","초선( 19대 )",135,121,9,5
736,"이종진","새누리당","초선( 19대 )",135,126,9,0
737,"박남춘","더불어민주당","초선( 19대 )",135,135,0,0
738,"윤관석","더불어민주당","초선( 19대 )",135,135,0,0
739,"최원식","더불어민주당","초선( 19대 )",135,112,0,23
741,"박혜자","더불어민주당","초선( 19대 )",135,126,9,0
743,"임내현","무소속","초선( 19대 )",135,108,0,27
744,"이장우","새누리당","초선( 19대 )",135,135,0,0
745,"박범계","더불어민주당","초선( 19대 )",135,135,0,0
747,"이채익","새누리당","초선( 19대 )",135,135,0,0
748,"박대동","새누리당","초선( 19대 )",135,131,4,0
749,"김진태","새누리당","초선( 19대 )",135,108,9,18
750,"김기선","새누리당","초선( 19대 )",135,117,0,18
751,"이강후","새누리당","초선( 19대 )",135,117,18,0
752,"이이재","새누리당","초선( 19대 )",135,108,27,0
753,"염동열","새누리당","초선( 19대 )",135,135,0,0
754,"박덕흠","새누리당","초선( 19대 )",135,108,27,0
755,"경대수","새누리당","초선( 19대 )",135,126,0,9
756,"박완주","더불어민주당","초선( 19대 )",135,135,0,0
757,"박수현","더불어민주당","초선( 19대 )",135,135,0,0
758,"김태흠","새누리당","초선( 19대 )",135,126,9,0
760,"김동완","새누리당","초선( 19대 )",135,125,0,10
761,"김윤덕","더불어민주당","초선( 19대 )",135,130,5,0
762,"이상직","더불어민주당","초선( 19대 )",135,135,0,0
763,"김성주","더불어민주당","초선( 19대 )",135,126,9,0
764,"김관영","더불어민주당","초선( 19대 )",135,135,0,0
765,"전정희","더불어민주당","초선( 19대 )",135,126,0,9
766,"강동원","더불어민주당","초선( 19대 )",135,90,0,45
767,"박민수","더불어민주당","초선( 19대 )",135,135,0,0
768,"김승남","더불어민주당","초선( 19대 )",135,135,0,0
769,"황주홍","무소속","초선( 19대 )",135,107,9,19
772,"김종태","새누리당","초선( 19대 )",135,117,0,18
